model,category,avg_accuracy,avg_completeness,avg_coherence,avg_latency,n
Claude Opus 4.6,factual,5.0,5.0,5.0,2.04,48
Claude Opus 4.6,reasoning,5.0,5.0,5.0,5.41,48
Claude Opus 4.6,synthesis,5.0,4.88,5.0,6.86,48
GLM-4-9B-Chat Q4,factual,5.0,4.83,5.0,3.96,48
GLM-4-9B-Chat Q4,reasoning,4.23,4.06,4.56,8.97,48
GLM-4-9B-Chat Q4,synthesis,4.81,3.98,4.75,8.36,48
Gemma 4 E4B Q8,factual,5.0,5.0,5.0,17.89,48
Gemma 4 E4B Q8,reasoning,4.85,3.62,4.46,38.17,48
Gemma 4 E4B Q8,synthesis,4.92,4.27,5.0,43.56,48
Llama 3.1 8B Q4,factual,5.0,4.79,5.0,2.82,48
Llama 3.1 8B Q4,reasoning,4.5,4.08,4.81,7.51,48
Llama 3.1 8B Q4,synthesis,4.71,4.19,4.92,11.22,48
